FIPS,State,County_Name,County,Population_2010,UIC_2013,Description,City/Suburb/Town/Rural
46127,SD,Union County,Union ,"14,399",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47001,TN,Anderson County,Anderson ,"75,129",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47009,TN,Blount County,Blount ,"123,010",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47011,TN,Bradley County,Bradley ,"98,963",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47013,TN,Campbell County,Campbell ,"40,716",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47019,TN,Carter County,Carter ,"57,424",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47023,TN,Chester County,Chester ,"17,131",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47033,TN,Crockett County,Crockett ,"14,586",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47057,TN,Grainger County,Grainger ,"22,657",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47063,TN,Hamblen County,Hamblen ,"62,544",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47065,TN,Hamilton County,Hamilton ,"336,463",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47073,TN,Hawkins County,Hawkins ,"56,833",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47089,TN,Jefferson County,Jefferson ,"51,407",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47093,TN,Knox County,Knox ,"432,226",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47105,TN,Loudon County,Loudon ,"48,556",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47113,TN,Madison County,Madison ,"98,294",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47115,TN,Marion County,Marion ,"28,237",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47125,TN,Montgomery County,Montgomery ,"172,331",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47129,TN,Morgan County,Morgan ,"21,987",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47139,TN,Polk County,Polk ,"16,825",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47145,TN,Roane County,Roane ,"54,181",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47153,TN,Sequatchie County,Sequatchie ,"14,112",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47163,TN,Sullivan County,Sullivan ,"156,823",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47171,TN,Unicoi County,Unicoi ,"18,313",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47173,TN,Union County,Union ,"19,109",2,Small-in a metro area with fewer than 1 million residents                                           ,City
47179,TN,Washington County,Washington ,"122,979",2,Small-in a metro area with fewer than 1 million residents                                           ,City
48007,TX,Aransas County,Aransas ,"23,158",2,Small-in a metro area with fewer than 1 million residents                                           ,City
48009,TX,Archer County,Archer ,"9,054",2,Small-in a metro area with fewer than 1 million residents                                           ,City
